invoice_id,invoice_number,vendor_id,invoice_date,po_id,subtotal,gst_rate,gst_amount,total_amount,bank_account,approver_employee_id,payment_status,is_fraud,fraud_type
INV00001,V018/2025/00001,V018,2025-12-23,PO00298,643999.48,12,77279.94,721279.42,100000142542,E008,Rejected,0,none
INV00002,V013/2026/00002,V013,2026-05-15,PO00337,373150.79,12,44778.09,417928.88,100000102947,E017,Paid,0,none
INV00003,V030/2025/00003,V030,2025-07-25,PO00021,420252.79,5,21012.64,441265.43,100000237570,E012,Paid,0,none
INV00004,V014/2025/00004,V014,2025-07-04,PO00302,213250.11,28,59710.03,272960.14,100000110866,E020,Paid,0,none
INV00005,V016/2026/00005,V016,2026-06-03,PO00129,315718.8,5,15785.94,331504.74,100000126704,E015,Paid,0,none
INV00006,V012/2025/00006,V012,2025-05-18,,83370.55,18,15006.7,98377.25,100000095028,E011,Paid,0,none
INV00007,V004/2026/00007,V004,2026-06-15,PO00066,109317.36,18,19677.12,128994.48,100000031676,E014,Paid,0,none
INV00008,V002/2025/00008,V002,2025-11-06,PO00242,338678.19,28,94829.89,433508.08,100000015838,E019,Paid,0,none
INV00009,V028/2025/00009,V028,2025-02-14,,397029.09,18,71465.24,468494.33,100000221732,E012,Paid,0,none
INV00010,V001/2025/00010,V001,2025-09-07,,68835.52,12,8260.26,77095.78,100000007919,E005,Paid,0,none
INV00011,V027/2026/00011,V027,2026-06-13,PO00407,264014.57,5,13200.73,277215.3,100000213813,E018,Paid,0,none
INV00012,V012/2026/00012,V012,2026-02-19,PO00322,53021.42,18,9543.85,62565.27,100000095028,E009,Paid,0,none
INV00013,V003/2026/00013,V003,2026-02-28,PO00179,153842.22,5,7692.11,161534.33,100000023757,E020,Paid,0,none
INV00014,V026/2025/00014,V026,2025-07-20,,158309.85,12,18997.18,177307.03,100000205894,E012,Paid,0,none
INV00015,V008/2025/00015,V008,2025-12-08,PO00351,258098.93,28,72267.7,330366.63,100000063352,E012,Paid,0,none
INV00016,V030/2025/00016,V030,2025-08-12,,250176.43,5,12508.82,262685.25,100000237570,E003,Paid,0,none
INV00017,V003/2026/00017,V003,2026-01-13,PO00167,438657.61,5,21932.88,460590.49,100000023757,E006,Pending,0,none
INV00018,V010/2025/00018,V010,2025-09-06,PO00494,642968.12,5,32148.41,675116.53,100000079190,E011,Paid,0,none
INV00019,V004/2026/00019,V004,2026-02-27,PO00134,71311.24,18,12836.02,84147.26,100000031676,E008,Paid,0,none
INV00020,V019/2025/00020,V019,2025-04-25,PO00321,414338.66,28,116014.83,530353.49,100000150461,E019,Paid,0,none
INV00021,V006/2025/00021,V006,2025-10-01,,302349.75,5,15117.49,317467.24,100000047514,E002,Paid,0,none
INV00022,V029/2025/00022,V029,2025-02-13,,358316.17,12,42997.94,401314.11,100000229651,E005,Paid,0,none
INV00023,V011/2025/00023,V011,2025-03-13,PO00138,306290.48,28,85761.33,392051.81,100000087109,E009,Paid,0,none
INV00024,V013/2026/00024,V013,2026-05-28,PO00227,444266.85,12,53312.02,497578.87,100000102947,E010,Pending,0,none
INV00025,V016/2025/00025,V016,2025-07-27,,290942.36,18,52369.62,343311.98,100000126704,E019,Paid,1,gst_mismatch
